Row_ID,Country,Currency,Brand,Brand_Type,Category,Segment,Season,Original_Price,Discount_Percent,Discounted_Price,Stock_Status,Online_Available,In_Store_Available,Data_Source,Collection_Date,Original_Price_USD,Discounted_Price_USD
1,USA,USD,Zara,Competitor,T-Shirts,Tops,Spring/Summer 2024,45.86,10,41.27,In Stock,Yes,Yes,Partner Data,2024-01-15,45.86,41.27
2,USA,USD,Zara,Competitor,T-Shirts,Tops,Fall/Winter 2024,51.96,0,51.96,Out Of Stock,No,Yes,Website Scrape,2024-01-15,51.96,51.96
3,USA,USD,Zara,Competitor,T-Shirts,Tops,Spring/Summer 2025,27.33,0,27.33,Out Of Stock,Yes,No,Partner Data,2025-03-15,27.33,27.33
4,USA,USD,Zara,Competitor,Formal Shirts,Tops,Spring/Summer 2024,102.0,10,91.8,In Stock,Yes,No,Mystery Shopping,2024-07-22,102.0,91.8
5,USA,USD,Zara,Competitor,Formal Shirts,Tops,Fall/Winter 2024,67.7,15,57.55,In Stock,Yes,Yes,Website Scrape,2024-07-22,67.7,57.55
6,USA,USD,Zara,Competitor,Formal Shirts,Tops,Spring/Summer 2025,146.37,0,146.37,Low Stock,Yes,Yes,Website Scrape,2025-01-20,146.37,146.37
7,USA,USD,Zara,Competitor,Dresses,Dresses,Spring/Summer 2024,109.23,15,92.85,Out Of Stock,Yes,No,Website Scrape,2024-01-15,109.23,92.85
8,USA,USD,Zara,Competitor,Dresses,Dresses,Fall/Winter 2024,200.21,0,200.21,In Stock,Yes,Yes,Mystery Shopping,2024-10-05,200.21,200.21
9,USA,USD,Zara,Competitor,Dresses,Dresses,Spring/Summer 2025,186.29,15,158.35,In Stock,Yes,No,Mystery Shopping,2025-03-15,186.29,158.35
10,USA,USD,Zara,Competitor,Jeans,Bottoms,Spring/Summer 2024,191.03,0,191.03,Out Of Stock,Yes,Yes,Mystery Shopping,2024-10-05,191.03,191.03
11,USA,USD,Zara,Competitor,Jeans,Bottoms,Fall/Winter 2024,89.21,30,62.45,In Stock,Yes,Yes,Website Scrape,2024-01-15,89.21,62.45
12,USA,USD,Zara,Competitor,Jeans,Bottoms,Spring/Summer 2025,166.32,0,166.32,In Stock,Yes,Yes,Partner Data,2024-10-05,166.32,166.32
13,USA,USD,Zara,Competitor,Activewear,Activewear,Spring/Summer 2024,71.69,25,53.77,In Stock,Yes,Yes,Website Scrape,2025-03-15,71.69,53.77
14,USA,USD,Zara,Competitor,Activewear,Activewear,Fall/Winter 2024,84.12,20,67.3,Out Of Stock,No,Yes,Website Scrape,2024-04-10,84.12,67.3
